Jogador,Poder (M),Time,Status,Tropa
LION King,84.3,Time A (18h),Titular,Míssil
Din the dispatcher,76.0,Time A (18h),Titular,Míssil
Prince Arthas,68.0,Time A (18h),Titular,Míssil
DJ123THEE,52.73,Time A (18h),Titular,Tanque
MrNobodyx,50.1,Time A (18h),Titular,Aeronave
Bruno,48.7,Time A (18h),Titular,Míssil
Lord of Despatchers,48.0,Time A (18h),Titular,Tanque
Shaka valkyrie,47.68,Time A (18h),Titular,Tanque
Zedicus Zul Zoranda,47.34,Time A (18h),Titular,Tanque
kittën,46.6,Time A (18h),Titular,Aeronave
Gzyniu,46.5,Time A (18h),Titular,Míssil
KHOZA X HIMURA,46.0,Time A (18h),Titular,Tanque
Belavista2008,44.2,Time A (18h),Titular,Tanque
yachine,43.76,Time A (18h),Titular,Aeronave
Woodzy,43.5,Time A (18h),Titular,Aeronave
T3DDYOWNSURBOOTE,42.48,Time A (18h),Titular,Tanque
MURDA12,41.9,Time A (18h),Titular,Tanque
Newfound Freddy,41.12,Time A (18h),Titular,Tanque
Vovlo,40.45,Time A (18h),Titular,Aeronave
BIGAV,39.1,Time A (18h),Titular,Tanque
ChelieKIA,33.09,Time A (18h),Titular,Tanque
D12,60.0,Time A (18h),Reserva,Aeronave
mikehoncho3,43.4,Time A (18h),Reserva,Tanque
ザイダンAli,42.6,Time A (18h),Reserva,Tanque
NusretS,40.45,Time A (18h),Reserva,Tanque
TheBrod,39.6,Time A (18h),Reserva,Aeronave
Warriors call,39.04,Time A (18h),Reserva,Tanque
HeatSeeker,38.37,Time A (18h),Reserva,Tanque
dtcsmd,38.11,Time A (18h),Reserva,Tanque
Chxpper,37.22,Time A (18h),Reserva,Tanque
Dv007,60.1,Time B (09h),Titular,Aeronave
LacErdA,60.0,Time B (09h),Titular,Míssil
iRuşh,55.65,Time B (09h),Titular,Aeronave
XPHOENIXX,54.5,Time B (09h),Titular,Míssil
MEEKZ,54.0,Time B (09h),Titular,Aeronave
TITO,53.0,Time B (09h),Titular,Míssil
Midgarfex,53.0,Time B (09h),Titular,Aeronave
LIVI,52.14,Time B (09h),Titular,Aeronave
KiffMelmANinja,49.9,Time B (09h),Titular,Tanque
Ejump84,49.9,Time B (09h),Titular,Aeronave
Holess,46.3,Time B (09h),Titular,Aeronave
dóg,46.2,Time B (09h),Titular,Aeronave
Woopii,45.07,Time B (09h),Titular,Aeronave
Seruduk,44.9,Time B (09h),Titular,Tanque
psykovich,44.6,Time B (09h),Titular,Aeronave
Kurtkevin,44.0,Time B (09h),Titular,Aeronave
AussieZombie,42.0,Time B (09h),Titular,Tanque
GA JUDY,41.21,Time B (09h),Titular,Tanque
NNNTTT,46.86,Time B (09h),Reserva,Tanque
stella dn,42.9,Time B (09h),Reserva,Tanque
DidiWarrior,41.52,Time B (09h),Reserva,Tanque
koramocha,40.7,Time B (09h),Reserva,Tanque
SHARE,40.0,Time B (09h),Reserva,Aeronave
Bunji57,39.7,Time B (09h),Reserva,Aeronave
Asi Kizzz,37.06,Time B (09h),Reserva,Tanque
